region_id,region_name,region_type,avg_confidence_change,median_confidence_change,avg_confidence_change_pct,detections_eliminated,detections_eliminated_pct,strong_reduction,strong_reduction_pct,total_images,correct_reads,correct_reads_pct,patch_path
baseline,Original (No Ablation),baseline,-0.4325371405033216,-0.4656178951263428,-44.09021188913343,0,0.0,72,98.63013698630137,73,1,1.36986301369863,../patches/patch_epoch_0095.png
grid_0_0,Grid R1C1,grid,-0.3411724473515602,-0.3634136915206909,-34.892736169894555,0,0.0,71,97.26027397260275,73,4,5.47945205479452,ablation_results2/ablated_patches/ablated_grid_0_0.png
grid_0_1,Grid R1C2,grid,-0.38874529036757066,-0.4094836115837097,-39.62012532591159,0,0.0,71,97.26027397260275,73,2,2.73972602739726,ablation_results2/ablated_patches/ablated_grid_0_1.png
grid_0_2,Grid R1C3,grid,-0.3820155663033054,-0.36040937900543213,-38.938400375913965,0,0.0,70,95.8904109589041,73,1,1.36986301369863,ablation_results2/ablated_patches/ablated_grid_0_2.png
grid_1_0,Grid R2C1,grid,-0.17010393657096445,-0.15873277187347412,-17.689711376260092,0,0.0,61,83.56164383561644,73,16,21.91780821917808,ablation_results2/ablated_patches/ablated_grid_1_0.png
grid_1_1,Grid R2C2,grid,-0.4325371405033216,-0.4656178951263428,-44.09021188913343,0,0.0,72,98.63013698630137,73,1,1.36986301369863,ablation_results2/ablated_patches/ablated_grid_1_1.png
grid_1_2,Grid R2C3,grid,-0.3683242279372803,-0.35615885257720936,-37.59989744333943,0,0.0,71,97.26027397260275,73,2,2.73972602739726,ablation_results2/ablated_patches/ablated_grid_1_2.png
grid_2_0,Grid R3C1,grid,-0.3451591289206727,-0.3645014762878419,-35.2969338832833,0,0.0,68,93.15068493150685,73,11,15.068493150684931,ablation_results2/ablated_patches/ablated_grid_2_0.png
grid_2_1,Grid R3C2,grid,-0.4267678301628322,-0.4487626552581787,-43.53837555370912,0,0.0,72,98.63013698630137,73,1,1.36986301369863,ablation_results2/ablated_patches/ablated_grid_2_1.png
grid_2_2,Grid R3C3,grid,-0.4105513863367577,-0.4399789571762084,-41.87994388472886,0,0.0,71,97.26027397260275,73,1,1.36986301369863,ablation_results2/ablated_patches/ablated_grid_2_2.png
