time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,10,15,x_+10_y_15.heic,True,VRJ7774,0.999988853931427,True
dark flash,disruption,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999886751174928,True
dark flash,disruption,5,15,x_+05_y_15.heic,True,VRJ7774,0.9986588358879088,True
dark flash,disruption,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9999666213989258,True
dark flash,disruption,-20,15,x_-20_y_15.heic,False,,,False
dark flash,disruption,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999676942825316,True
dark flash,disruption,-15,15,x_-15_y_15.heic,True,VRJ7774,0.999640703201294,True
dark flash,disruption,15,15,x_+15_y_15.heic,True,VRJ7774,0.9535011649131776,True
dark flash,disruption,20,15,x_+20_y_15.heic,True,VRJ7774,0.9995761513710022,True
dark flash,disruption,-10,25,x_-10_y_25.heic,True,VRJ7274,0.989323914051056,False
dark flash,disruption,5,25,x_+05_y_25.heic,True,VRJ7774,0.999853253364563,True
dark flash,disruption,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9997723698616028,True
dark flash,disruption,10,25,x_+10_y_25.heic,True,VRJ7774,0.9999805092811584,True
dark flash,disruption,20,25,x_+20_y_25.heic,False,,,False
dark flash,disruption,15,25,x_+15_y_25.heic,False,,,False
dark flash,disruption,-15,25,x_-15_y_25.heic,False,,,False
dark flash,disruption,0,25,x_+00_y_25.heic,True,VRJ7774,0.9998841881752014,True
dark flash,disruption,-20,25,x_-20_y_25.heic,False,,,False
dark flash,disruption,20,40,x_+20_y_40.heic,False,,,False
dark flash,disruption,15,40,x_+15_y_40.heic,False,,,False
dark flash,disruption,-15,40,x_-15_y_40.heic,False,,,False
dark flash,disruption,-20,40,x_-20_y_40.heic,False,,,False
dark flash,disruption,0,40,x_+00_y_40.heic,True,VRJ7774,0.9889763593673706,True
dark flash,disruption,-10,40,x_-10_y_40.heic,False,,,False
dark flash,disruption,5,40,x_+05_y_40.heic,False,,,False
dark flash,disruption,-5,40,x_-05_y_40.heic,False,,,False
dark flash,disruption,10,40,x_+10_y_40.heic,False,,,False
dark flash,disruption,-15,30,x_-15_y_30.heic,False,,,False
dark flash,disruption,-20,30,x_-20_y_30.heic,False,,,False
dark flash,disruption,0,30,x_+00_y_30.heic,True,VRJ7774,0.999884307384491,True
dark flash,disruption,20,30,x_+20_y_30.heic,False,,,False
dark flash,disruption,15,30,x_+15_y_30.heic,True,VRJ7774,0.9629451036453248,True
dark flash,disruption,-5,30,x_-05_y_30.heic,False,,,False
dark flash,disruption,10,30,x_+10_y_30.heic,False,,,False
dark flash,disruption,-10,30,x_-10_y_30.heic,True,VRJ7774,0.9987779259681702,True
dark flash,disruption,5,30,x_+05_y_30.heic,True,VRJ7774,0.9974852800369264,True
dark flash,disruption,-10,45,x_-10_y_45.heic,False,,,False
dark flash,disruption,5,45,x_+05_y_45.heic,False,,,False
dark flash,disruption,-5,45,x_-05_y_45.heic,False,,,False
dark flash,disruption,10,45,x_+10_y_45.heic,False,,,False
dark flash,disruption,20,45,x_+20_y_45.heic,False,,,False
dark flash,disruption,15,45,x_+15_y_45.heic,False,,,False
dark flash,disruption,-15,45,x_-15_y_45.heic,False,,,False
dark flash,disruption,-20,45,x_-20_y_45.heic,False,,,False
dark flash,disruption,0,45,x_+00_y_45.heic,False,,,False
dark flash,disruption,20,20,x_+20_y_20.heic,False,,,False
dark flash,disruption,15,20,x_+15_y_20.heic,True,VRJ7774,0.99998539686203,True
dark flash,disruption,-15,20,x_-15_y_20.heic,True,VRJ7774,0.9999805092811584,True
dark flash,disruption,0,20,x_+00_y_20.heic,True,VRJ7774,0.9995734095573424,True
dark flash,disruption,-20,20,x_-20_y_20.heic,False,,,False
dark flash,disruption,-10,20,x_-10_y_20.heic,True,VRJ7774,0.9999839067459106,True
dark flash,disruption,5,20,x_+05_y_20.heic,True,VRJ7774,0.9998798370361328,True
dark flash,disruption,-5,20,x_-05_y_20.heic,True,VRJ7774,0.9866631627082824,True
dark flash,disruption,10,20,x_+10_y_20.heic,True,VRJ7774,0.9996855854988098,True
dark flash,disruption,-20,10,x_-20_y_10.heic,False,,,False
dark flash,disruption,0,10,x_+00_y_10.heic,True,VRJ7774,0.9999066591262816,True
dark flash,disruption,-15,10,x_-15_y_10.heic,False,,,False
dark flash,disruption,15,10,x_+15_y_10.heic,True,VRJ7774,0.9999687671661376,True
dark flash,disruption,20,10,x_+20_y_10.heic,False,,,False
dark flash,disruption,10,10,x_+10_y_10.heic,True,VRJ7774,0.9994686841964722,True
dark flash,disruption,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9894320964813232,True
dark flash,disruption,5,10,x_+05_y_10.heic,True,VRJ7774,0.9890320897102356,True
dark flash,disruption,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9999419450759888,True
dark flash,disruption,-5,35,x_-05_y_35.heic,False,,,False
dark flash,disruption,10,35,x_+10_y_35.heic,False,,,False
dark flash,disruption,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9943616390228271,True
dark flash,disruption,5,35,x_+05_y_35.heic,False,,,False
dark flash,disruption,-15,35,x_-15_y_35.heic,False,,,False
dark flash,disruption,-20,35,x_-20_y_35.heic,False,,,False
dark flash,disruption,0,35,x_+00_y_35.heic,False,,,False
dark flash,disruption,20,35,x_+20_y_35.heic,False,,,False
dark flash,disruption,15,35,x_+15_y_35.heic,False,,,False
dark flash,disruption,-15,50,x_-15_y_50.heic,False,,,False
dark flash,disruption,0,50,x_+00_y_50.heic,False,,,False
dark flash,disruption,-20,50,x_-20_y_50.heic,False,,,False
dark flash,disruption,20,50,x_+20_y_50.heic,False,,,False
dark flash,disruption,15,50,x_+15_y_50.heic,False,,,False
dark flash,disruption,-5,50,x_-05_y_50.heic,False,,,False
dark flash,disruption,10,50,x_+10_y_50.heic,False,,,False
dark flash,disruption,-10,50,x_-10_y_50.heic,False,,,False
dark flash,disruption,5,50,x_+05_y_50.heic,False,,,False
dark flash,disruption,5,5,x_+05_y_05.heic,True,VRJ7774,0.9532394409179688,True
dark flash,disruption,-10,5,x_-10_y_05.heic,True,VRJ7774,0.8673126697540283,True
dark flash,disruption,10,5,x_+10_y_05.heic,True,VRJ7774,0.9944220781326294,True
dark flash,disruption,-5,5,x_-05_y_05.heic,True,2RJ777A,0.6302425861358643,False
dark flash,disruption,15,5,x_+15_y_05.heic,True,VRJ7774,0.9992878437042236,True
dark flash,disruption,20,5,x_+20_y_05.heic,False,,,False
dark flash,disruption,0,5,x_+00_y_05.heic,True,VRJ7774,0.9941914677619934,True
dark flash,disruption,-20,5,x_-20_y_05.heic,False,,,False
dark flash,disruption,-15,5,x_-15_y_05.heic,False,,,False
dark flash,impersonation,10,15,x_+10_y_15.heic,True,VRJ7774,0.999366044998169,True
dark flash,impersonation,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999783635139464,True
dark flash,impersonation,5,15,x_+05_y_15.heic,True,VRJ7774,0.9998912811279296,True
dark flash,impersonation,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9999964833259584,True
dark flash,impersonation,-20,15,x_-20_y_15.heic,False,,,False
dark flash,impersonation,0,15,x_+00_y_15.heic,True,VRJ7774,0.9997476935386658,True
dark flash,impersonation,-15,15,x_-15_y_15.heic,True,VRJ7774,0.999993860721588,True
dark flash,impersonation,15,15,x_+15_y_15.heic,True,VRJ7774,0.9999306797981262,True
dark flash,impersonation,20,15,x_+20_y_15.heic,True,VRJ7774,0.9992361068725586,True
dark flash,impersonation,-10,25,x_-10_y_25.heic,True,VRJ7774,0.9996955394744872,True
dark flash,impersonation,5,25,x_+05_y_25.heic,True,VRJ7774,0.9991201758384703,True
