time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999805092811584,True
dark flash,disruption,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999343156814575,True
dark flash,disruption,5,15,x_+05_y_15.heic,True,VRJ7774,0.9998342990875244,True
dark flash,disruption,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9996691942214966,True
dark flash,disruption,-20,15,x_-20_y_15.heic,True,VRJ7774,0.999853789806366,True
dark flash,disruption,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999440312385559,True
dark flash,disruption,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999769926071167,True
dark flash,disruption,15,15,x_+15_y_15.heic,True,VRJ7774,0.9978386759757996,True
dark flash,disruption,20,15,x_+20_y_15.heic,True,VRJ7774,0.999897301197052,True
dark flash,disruption,-10,25,x_-10_y_25.heic,True,VRJ7274,0.9570143222808838,False
dark flash,disruption,5,25,x_+05_y_25.heic,True,VRJ7774,0.9999441504478455,True
dark flash,disruption,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9998447895050049,True
dark flash,disruption,10,25,x_+10_y_25.heic,True,VRJ7774,0.9999874830245972,True
dark flash,disruption,20,25,x_+20_y_25.heic,True,VRJ7774,0.999959409236908,True
dark flash,disruption,15,25,x_+15_y_25.heic,True,VRJ7774,0.9998432993888855,True
dark flash,disruption,-15,25,x_-15_y_25.heic,True,VRJ7774,0.9997082948684692,True
dark flash,disruption,0,25,x_+00_y_25.heic,True,VRJ7774,0.9999701380729675,True
dark flash,disruption,-20,25,x_-20_y_25.heic,True,VRJ7774,0.999047577381134,True
dark flash,disruption,20,40,x_+20_y_40.heic,True,VRJ7774,0.99984210729599,True
dark flash,disruption,15,40,x_+15_y_40.heic,True,VRJ7181,0.7967392802238464,False
dark flash,disruption,-15,40,x_-15_y_40.heic,True,VRJ7714,0.8863842487335205,False
dark flash,disruption,-20,40,x_-20_y_40.heic,True,VRJ7774,0.8603497743606567,True
dark flash,disruption,0,40,x_+00_y_40.heic,True,VRJ7774,0.9999549388885498,True
