time_of_day,condition,x,y,filename,any_plate_detected,detected_plate_text,detected_plate_confidence,is_correct_plate
dark flash,disruption,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999986290931702,True
dark flash,disruption,-5,15,x_-05_y_15.heic,True,VRJ7774,0.9999991655349731,True
dark flash,disruption,5,15,x_+05_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,-10,15,x_-10_y_15.heic,True,VRJ7774,0.9999993443489075,True
dark flash,disruption,-20,15,x_-20_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,0,15,x_+00_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,-15,15,x_-15_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,15,15,x_+15_y_15.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,20,15,x_+20_y_15.heic,True,VRJ7774,1.0,True
dark flash,disruption,-10,25,x_-10_y_25.heic,True,VRJ7774,0.997258722782135,True
dark flash,disruption,5,25,x_+05_y_25.heic,True,VRJ7774,1.0,True
dark flash,disruption,-5,25,x_-05_y_25.heic,True,VRJ7774,0.9999720454216003,True
dark flash,disruption,10,25,x_+10_y_25.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,20,25,x_+20_y_25.heic,True,VRJ7774,0.9999275207519531,True
dark flash,disruption,15,25,x_+15_y_25.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,-15,25,x_-15_y_25.heic,True,VRJ7774,0.9999945163726807,True
dark flash,disruption,0,25,x_+00_y_25.heic,True,VRJ7774,0.9999985098838806,True
dark flash,disruption,-20,25,x_-20_y_25.heic,True,VRJ7774,0.999984622001648,True
dark flash,disruption,20,40,x_+20_y_40.heic,True,VRJ7774,0.9997909069061279,True
dark flash,disruption,15,40,x_+15_y_40.heic,True,VHJ7774,0.9239914417266846,False
dark flash,disruption,-15,40,x_-15_y_40.heic,True,VRJ7714,0.9594841003417969,False
dark flash,disruption,-20,40,x_-20_y_40.heic,True,VRJ7774,0.9691196084022522,True
dark flash,disruption,0,40,x_+00_y_40.heic,True,VRJ7774,0.9999014735221863,True
dark flash,disruption,-10,40,x_-10_y_40.heic,True,JWU5F4,0.6190693974494934,False
dark flash,disruption,5,40,x_+05_y_40.heic,True,VRJ7774,0.999603271484375,True
dark flash,disruption,-5,40,x_-05_y_40.heic,False,,,False
dark flash,disruption,10,40,x_+10_y_40.heic,True,VRJ7774,0.9996554255485535,True
dark flash,disruption,-15,30,x_-15_y_30.heic,True,17J7774,0.8759972453117371,False
dark flash,disruption,-20,30,x_-20_y_30.heic,False,,,False
dark flash,disruption,0,30,x_+00_y_30.heic,True,VRJ7774,0.9999993443489075,True
dark flash,disruption,20,30,x_+20_y_30.heic,True,VRJ7774,0.9999995827674866,True
dark flash,disruption,15,30,x_+15_y_30.heic,True,VHJ7774,0.9945886135101318,False
dark flash,disruption,-5,30,x_-05_y_30.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,10,30,x_+10_y_30.heic,True,NRJ7171,0.9344332218170166,False
dark flash,disruption,-10,30,x_-10_y_30.heic,True,VRJ7774,0.9999281764030457,True
dark flash,disruption,5,30,x_+05_y_30.heic,True,VRJ7774,0.9999992847442627,True
dark flash,disruption,-10,45,x_-10_y_45.heic,False,,,False
dark flash,disruption,5,45,x_+05_y_45.heic,True,VPJ7774,0.9851665496826172,False
dark flash,disruption,-5,45,x_-05_y_45.heic,True,VRJ7774,0.9999847412109375,True
dark flash,disruption,10,45,x_+10_y_45.heic,False,,,False
dark flash,disruption,20,45,x_+20_y_45.heic,False,,,False
dark flash,disruption,15,45,x_+15_y_45.heic,False,,,False
dark flash,disruption,-15,45,x_-15_y_45.heic,True,VRJ7774,0.9993603825569153,True
dark flash,disruption,-20,45,x_-20_y_45.heic,False,,,False
dark flash,disruption,0,45,x_+00_y_45.heic,True,VRJ7774,0.9939143657684326,True
dark flash,disruption,20,20,x_+20_y_20.heic,True,VRJ7774,0.9999873638153076,True
dark flash,disruption,15,20,x_+15_y_20.heic,True,VRJ7774,1.0,True
dark flash,disruption,-15,20,x_-15_y_20.heic,True,VRJ7774,0.9999897480010986,True
dark flash,disruption,0,20,x_+00_y_20.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,-20,20,x_-20_y_20.heic,True,VRJ7774,0.9999497532844543,True
dark flash,disruption,-10,20,x_-10_y_20.heic,True,VRJ7774,1.0,True
dark flash,disruption,5,20,x_+05_y_20.heic,True,VRJ7774,1.0,True
dark flash,disruption,-5,20,x_-05_y_20.heic,True,VRJ7774,0.9999995827674866,True
dark flash,disruption,10,20,x_+10_y_20.heic,True,VRJ7774,1.0,True
dark flash,disruption,-20,10,x_-20_y_10.heic,True,VRJ7774,0.9999993443489075,True
dark flash,disruption,0,10,x_+00_y_10.heic,True,VRJ7774,0.9999983906745911,True
dark flash,disruption,-15,10,x_-15_y_10.heic,True,VRJ7774,1.0,True
dark flash,disruption,15,10,x_+15_y_10.heic,True,VRJ7774,0.9999859929084778,True
dark flash,disruption,20,10,x_+20_y_10.heic,True,VRJ7774,0.9999997615814209,True
dark flash,disruption,10,10,x_+10_y_10.heic,True,VRJ7774,0.9999970197677612,True
dark flash,disruption,-5,10,x_-05_y_10.heic,True,VRJ7774,0.9999985098838806,True
dark flash,disruption,5,10,x_+05_y_10.heic,True,VRJ7774,0.9999964237213135,True
dark flash,disruption,-10,10,x_-10_y_10.heic,True,VRJ7774,0.9999889731407166,True
dark flash,disruption,-5,35,x_-05_y_35.heic,True,VRJ7774,0.9999995827674866,True
dark flash,disruption,10,35,x_+10_y_35.heic,True,VRJ7774,0.999999463558197,True
dark flash,disruption,-10,35,x_-10_y_35.heic,True,VRJ7774,0.9999227523803711,True
dark flash,disruption,5,35,x_+05_y_35.heic,False,,,False
dark flash,disruption,-15,35,x_-15_y_35.heic,False,,,False
dark flash,disruption,-20,35,x_-20_y_35.heic,True,VRJ7774,0.9996931552886963,True
dark flash,disruption,0,35,x_+00_y_35.heic,True,VRJ7774,0.9999735355377197,True
dark flash,disruption,20,35,x_+20_y_35.heic,True,7RJ5174,0.9377941489219666,False
dark flash,disruption,15,35,x_+15_y_35.heic,True,VRJ7774,0.9999983906745911,True
dark flash,disruption,-15,50,x_-15_y_50.heic,False,,,False
dark flash,disruption,0,50,x_+00_y_50.heic,False,,,False
dark flash,disruption,-20,50,x_-20_y_50.heic,False,,,False
dark flash,disruption,20,50,x_+20_y_50.heic,True,VRJ7771,0.946913480758667,False
dark flash,disruption,15,50,x_+15_y_50.heic,True,VRJ7774,0.9973114728927612,True
dark flash,disruption,-5,50,x_-05_y_50.heic,True,5H5777A,0.47202935814857483,False
dark flash,disruption,10,50,x_+10_y_50.heic,True,VRJ7774,0.9455164670944214,True
dark flash,disruption,-10,50,x_-10_y_50.heic,True,VRJ7774,0.9999118447303772,True
dark flash,disruption,5,50,x_+05_y_50.heic,True,VEJ7774,0.8584792613983154,False
dark flash,disruption,5,5,x_+05_y_05.heic,True,VRJ7774,0.99996417760849,True
dark flash,disruption,-10,5,x_-10_y_05.heic,True,VRJ7774,0.9998577833175659,True
dark flash,disruption,10,5,x_+10_y_05.heic,True,VRJ7774,0.9999856948852539,True
dark flash,disruption,-5,5,x_-05_y_05.heic,True,VRJ7774,0.9877058863639832,True
dark flash,disruption,15,5,x_+15_y_05.heic,True,VRJ7774,0.9999980926513672,True
dark flash,disruption,20,5,x_+20_y_05.heic,False,,,False
dark flash,disruption,0,5,x_+00_y_05.heic,True,VRJ7774,0.9999998807907104,True
dark flash,disruption,-20,5,x_-20_y_05.heic,False,,,False
dark flash,disruption,-15,5,x_-15_y_05.heic,False,,,False
dark flash,impersonation,10,15,x_+10_y_15.heic,True,VRJ7774,0.9999997615814209,True
dark flash,impersonation,-5,15,x_-05_y_15.heic,True,VRJ7774,1.0,True
