filename,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,H00,H01,H02,H10,H11,H12,H20,H21,H22,out_w,out_h
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5815.HEIC,1748,3736,1975,3790,1942,3949,1718,3887,0.20545572017772115,-0.05070933566990601,1748.0,-0.24174995132140262,0.4324579815198343,3736.0,-8.753296868638592e-05,1.4138919866178113e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5816.HEIC,2034,3240,2359,3221,2371,3406,2046,3434,0.7318739903960129,0.02086320107176527,2034.0,0.22804413864584883,0.46966482525925807,3240.0,8.063048907560245e-05,-4.465688625725675e-06,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5817.HEIC,2256,4187,2531,3989,2541,4172,2267,4386,0.8293194598523392,0.02999325771776137,2256.0,0.2546952424671333,0.5023237443097051,4187.0,0.00014657689708376368,1.0998049041735207e-06,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5818.HEIC,2957,2357,3784,2377,3772,2790,2949,2763,1.269540492559292,0.013977949756483244,2957.0,-0.03500720115923968,1.046834884766756,2357.0,-2.8750750733097606e-05,1.1521854783480246e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5815.HEIC,1749,3734,1975,3790,1940,3948,1718,3886,0.23703198553759686,-0.02883732481340279,1749.0,-0.1746238522257424,0.4900716855501262,3734.0,-7.070110436914927e-05,2.8325189282070558e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5816.HEIC,2035,3239,2359,3221,2372,3407,2045,3434,0.7239443872296601,-0.03141275562748271,2035.0,0.22115933500073556,0.3927707076651464,3239.0,7.797557746064439e-05,-2.758569957334118e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5817.HEIC,2254,4190,2533,3988,2536,4179,2267,4387,0.7648834041625804,0.23869791165894277,2254.0,0.1354750687460339,0.8915252485433532,4190.0,0.0001183906056701857,9.095629098321252e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5818.HEIC,2960,2357,3781,2377,3774,2787,2946,2759,1.249081124365572,-0.09844278076755497,2960.0,-0.04163691282280762,0.9455843068100189,2357.0,-3.1539859552436244e-05,-2.153522768756109e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5819.HEIC,2492,4101,2862,4027,2891,4251,2520,4340,0.9215102215479176,0.021546945206278804,2492.0,0.30559922973682674,0.5140530722997023,4101.0,0.00010651417011923518,-1.9227402695921108e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5822.HEIC,1466,4096,2065,4225,2068,4470,1488,4333,0.8223987747813873,0.17784566903570498,1466.0,-0.1449629587806158,0.9502219650078694,4096.0,-8.5198333439199e-05,8.255757327668344e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5823.HEIC,1769,4853,2457,4836,2461,5116,1791,5134,1.1683557305653836,0.1751494628927064,1769.0,0.014356252753030109,1.0469150432669765,4853.0,8.827457834235617e-06,6.708512724327549e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5815.HEIC,1749,3737,1975,3789,1943,3948,1719,3886,0.1697118794326241,-0.07522859042553191,1749.0,-0.31037216312056737,0.37198324468085103,3737.0,-0.00010478723404255319,-1.3297872340425353e-07,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5816.HEIC,2034,3241,2356,3221,2371,3406,2047,3433,0.6807322893363162,-0.007781920623083932,2034.0,0.1636256524981357,0.41244365730383625,3241.0,6.114839671886652e-05,-1.9678515204242272e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5817.HEIC,2256,4191,2531,3988,2537,4178,2267,4388,0.6942903348554034,0.12540886605783863,2256.0,0.03345509893455098,0.6820121765601218,4191.0,9.322678843226788e-05,4.318873668188736e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5818.HEIC,2960,2357,3781,2378,3772,2793,2953,2759,1.1698496628854576,-0.0020271553333274547,2960.0,-0.08983315745174526,1.0194563421724854,2357.0,-5.249501995447656e-05,5.2397035782839645e-06,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5819.HEIC,2493,4105,2865,4028,2892,4248,2519,4341,0.9517109292783579,0.016449433020775447,2493.0,0.33803023495051493,0.5063326672263542,4105.0,0.00011578042906748963,-1.9273746319660403e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5822.HEIC,1461,4093,2066,4225,2070,4470,1488,4332,0.8467339021951872,0.21571019727115281,1461.0,-0.11047318323265606,1.0289829130232755,4093.0,-7.821850490713753e-05,9.960362719835537e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5823.HEIC,1767,4855,2456,4835,2459,5119,1794,5134,1.0840855191763055,0.22968223445647282,1767.0,-0.1598146775716189,1.161626862708769,4855.0,-2.6159533451558546e-05,9.040258330907069e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5824.HEIC,2332,4663,2857,4351,2886,4616,2377,4937,1.1958810005964187,0.276481909788202,2332.0,-0.03132193433846071,1.025588426009404,4663.0,0.0001123139659070419,6.898692039890703e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5826.HEIC,2061,3162,2233,3158,2237,3248,2061,3251,0.24252880814198,-0.11571347464042393,2061.0,-0.06908823282025402,0.03997476659096641,3162.0,-1.976617040962234e-05,-5.614433509967197e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5828.HEIC,2009,3467,2423,3381,2446,3610,2029,3709,0.9016438580341618,-0.001155620333435614,2009.0,0.15198977191367494,0.5114878285772732,3467.0,8.73478572159149e-05,-2.521223279124476e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5830.HEIC,1642,3462,1991,3522,1960,3722,1615,3651,0.3915642570563147,-0.0414721001109535,1642.0,-0.23628361961208413,0.5313407817305936,3462.0,-9.548086871439072e-05,1.611634668052415e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5831.HEIC,1628,3419,1851,3525,1810,3715,1586,3586,0.047815489003601615,-0.1988858701331271,1628.0,-0.44006774784565333,0.20522085101047044,3419.0,-0.00017496011759214752,-5.919663942820121e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5833.HEIC,1940,2037,3415,2072,3395,2804,1945,2754,2.3351138930722892,0.09488422439759037,1940.0,-0.016428212851405624,1.9091509789156627,2037.0,-3.608182730923695e-05,4.235692771084337e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5834.HEIC,1774,1188,4179,1209,4199,2389,1754,2389,4.132286723163842,-0.12237659006620223,1774.0,0.07086016949152543,2.903920938615646,1188.0,2.9661016949152544e-05,-4.126373435929431e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5835.HEIC,1727,3226,2280,3226,2278,3510,1722,3506,0.8684370197747268,-0.03594533664319368,1727.0,-0.07531528108482362,0.652265185673033,3226.0,-2.3346336356113954e-05,-1.3615178073863924e-05,1.0,600,400
/Users/NikhilKalidasu/Documents/Adversarial Plate/mycar/IMG_5836.HEIC,2035,3889,2539,3903,2529,4156,2026,4137,0.755864044964391,-0.014432498489591914,2035.0,-0.10600208710935353,0.6364734717416378,3889.0,-3.3137437981728635e-05,3.981984950843082e-06,1.0,600,400
